Propertyname,Address,PropertyType,Price,PSF,Floorsize,Floorlevel,Furnishing,Bedrooms,Bathrooms
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Wangsa 9 Residency, Wangsa Maju","- Jalan Wangsa Perdana 1, Wangsa Maju Wangsa Maju, Wangsa Maju, Kuala Lumpur",Condominium For Sale,"6,000,000","RM 1,154.07 psf",5199 sqft,n/a,n/a,6,8
Seni Mont Kiara,"- Changkat Duta Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"3,100,000",RM 875.46 psf,3541 sqft,n/a,n/a,4,6
Datum Jelatek Jalan Ampang,"Jalan Ampang, KL City, Kuala Lumpur",Condominium For Sale,"650,000",RM 812.50 psf,800 sqft,n/a,Partially Furnished,1,1
2R2B2Carpark monthly installment RM1500 Rental Income Monthly  RM2800,"Kenny Hills (Bukit Tunku), Bukit Tunku, Kuala Lumpur",Condominium For Sale,"489,000",RM 514.74 psf,950 sqft,n/a,Partially Furnished,2,2
BUKIT JALIL PAVILION 5 Mins Away Freehold Luxury Condo 3Rooms 3Baths 1200SQ. FT. [ Free MOT ],"Desa ParkCity, Kuala Lumpur",Condominium For Sale,"480,000",RM 400.00 psf,1200 sqft,n/a,Fully Furnished,3,3
2022 New OKR Residence 【Prime Location With Private & Safety HOME ! 】3-4 Room + Extra 3 Carpark,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",Condominium For Sale,"625,000",RM 520.83 psf,1200 sqft,n/a,Partially Furnished,4,3
Datum Jelatek Jalan Ampang,"KLCC, KL City, Kuala Lumpur",Condominium For Sale,"970,000",RM 746.15 psf,1300 sqft,n/a,Partially Furnished,2,2
Pinnacle,"1 Jalan Radin Anum 1, Sri Petaling, Kuala Lumpur",Condominium For Sale,"590,000",RM 667.42 psf,884 sqft,n/a,Partially Furnished,3,3
Lido Residency,"Jalan Yaacob Latif Off Jalan Cheras, Cheras, Kuala Lumpur",Condominium For Sale,"520,000",RM 539.98 psf,963 sqft,Middle Floor,Partially Furnished,2,2
"Completed 2023 Q1, Freehold 1, 200sf 3Room2Bath, Dual Balcony","Taman Segar, Cheras, Kuala Lumpur",Condominium For Sale,"455,999",RM 380.00 psf,1200 sqft,n/a,Partially Furnished,3,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,290,000","RM 2,067.31 psf",624 sqft,n/a,Partially Furnished,1,1
[FOREIGNER WELCOME] Damansara Freehold I Ready Soon I Free 70% Furnished,"Taman Tun Dr Ismail, Kuala Lumpur",Condominium For Sale,"970,000",RM 664.38 psf,1460 sqft,n/a,Partially Furnished,3,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"2,698,000","RM 2,278.72 psf",1184 sqft,n/a,Partially Furnished,3,3
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,355,000","RM 1,935.71 psf",700 sqft,n/a,Partially Furnished,1,1
Pavilion Hilltop @ Mont Kiara,"Lot 67209 Jalan Cangkat Duta Kiara Off Jalan Duta Kiara, Puncak Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"1,450,000","RM 1,208.33 psf",1200 sqft,n/a,n/a,3,2
RM370k [ 900sqft 2Car Park ] 【Low Density】10 Units per Floor [ Free 99k Furniture ] @ Cheras,"Taman Maluri, Cheras, Kuala Lumpur",Condominium For Sale,"370,000.00",RM 411.11 psf,900 sqft,n/a,Fully Furnished,2,2
[Freehold 1350sf]Completed condo latest new package free furnished free all legal fee,"Kepong, Kuala Lumpur",Condominium For Sale,"428,800",RM 317.63 psf,1350 sqft,n/a,Partially Furnished,3,2
Residensi 22 @ Mont Kiara,"Residensi 22 Jalan Kiara 3, Mont Kiara, Kuala Lumpur",Condominium For Sale,"1,900,000","RM 1,011.71 psf",1878 sqft,High Floor,Fully Furnished,3,4
Sunway Velocity KL Maluri Duplex Condo,"Taman Maluri Cheras, Cheras, Kuala Lumpur",Condominium For Sale,"435,000",RM 414.29 psf,1050 sqft,n/a,Fully Furnished,3,2
Seasons Garden Residences @ Wangsa Maju,"Jalan 26/26, Taman Setapak Jaya, Seksyen 10 Wangsa Maju, Wangsa Maju, Kuala Lumpur",Condominium For Sale,"495,000",RM 582.35 psf,850 sqft,Middle Floor,Unfurnished,4,2
TWY Duplex Condos @ Mont Kiara,"Jalan Duta Kiara, Mont Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"760,000",RM 925.70 psf,821 sqft,n/a,Fully Furnished,2,1
The Legacy OUG,"Taman OUG, Kuchai Lama, Kuala Lumpur",Condominium For Sale,"748,800",RM 713.14 psf,1050 sqft,n/a,Partially Furnished,3,2
Platinum Hill PV 5,"2  Jalan Melati Utama 3, Taman Melati Utama, Setapak, Kuala Lumpur",Condominium For Sale,"400,000",RM 314.47 psf,1272 sqft,Middle Floor,Unfurnished,4,2
Hampton Damansara,"Hampton Damansara Persiaran Tecoma Off LDP Highway, Country Heights Damansara, Kuala Lumpur",Condominium For Sale,"980,000",RM 687.24 psf,1426 sqft,n/a,Unfurnished,3,2
